Code,Long code,Compound code,Smiles,Downloaded,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms,[Other] AS2',[Other] S1,[Other] S1',[Other] S2,[Other] AS1'
Zx1837a,XX01ZVNS2B-x1837_B_301_XX01ZVNS2B-x1291+B+301+1,NegAcid3-Am02,Cc1cc(CO)c2cccc(CC(=O)N3CC[C@@H](N)C3)c2n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx1838a,XX01ZVNS2B-x1838_B_301_XX01ZVNS2B-x1291+B+301+1,NegAcid3-Am03,Cc1cc(CO)c2cccc(CC(=O)N3CC[C@@H](CN)C3)c2n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx2048a,XX01ZVNS2B-x2048_B_301_XX01ZVNS2B-x1291+B+301+1,Amine4-Ac01,CC(=O)N[C@@H](CCCN)C(=O)Nc1cccc2c(CO)cc(C)nc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx2094a,XX01ZVNS2B-x2094_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0015097-001,O=C(c1csc([C@H]2CCCNC2)n1)N1CC[C@H](c2cccnc2)C1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx2119a,XX01ZVNS2B-x2119_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0015164-001,NCc1ccc(C[C@H](NC(=O)c2ccccc2)C(=O)N2CCCCC2)cc1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx2126a,XX01ZVNS2B-x2126_B_203_XX01ZVNS2B-x1291+B+301+1,ASAP-0015080-001,Cn1oc(C(=O)Nc2cc(Cl)cc(C(=O)NC(C)(C)CO)c2)cc1=O,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx2135a,XX01ZVNS2B-x2135_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0015093-001,Cc1nc(CNC(=O)c2[nH]c([C@H]3CCCNC3)nc2C)c[nH]1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx2217a,XX01ZVNS2B-x2217_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0015216-001,CC(C)Nc1nc2ccc(C(=O)Nc3c[nH]c(C(N)=O)c3)cc2[nH]1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx2235a,XX01ZVNS2B-x2235_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0015259-001,CC(C)Nc1nc2ccc(C(=O)Nc3cnn(C)c3)cc2[nH]1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx2262a,XX01ZVNS2B-x2262_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0015286-001,Cc1nc([C@H]2CCCNC2)[nH]c1C(=O)Nc1ccccn1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx2306a,XX01ZVNS2B-x2306_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0015288-001,CC(C)Nc1nc2ccc(C(=O)Nc3nnc4cccnn34)cc2[nH]1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx2439a,XX01ZVNS2B-x2439_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0015487-001,Cc1cnccc1NC(=O)c1cccn(C[C@@H]2CCNC2)c1=O,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx2500a,XX01ZVNS2B-x2500_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0015442-001,COc1cc(Cc2ccnc(N3CCNCC3)c2)nc(N2CCNCC2)n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
