Code,Long code,Compound code,Smiles,Downloaded,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms,[Other] AS2',[Other] S1,[Other] S1',[Other] S2,[Other] AS1'
Zx0844a,XX01ZVNS2B-x0844_B_301_XX01ZVNS2B-x1291+B+301+1,Z1575274523,N#CCC1=N[C@H]2CCCC[C@H]2N1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0846a,XX01ZVNS2B-x0846_B_301_XX01ZVNS2B-x0846+B+301+1,Z1587220559,Oc1ccccc1CNc1nc2ccccc2[nH]1,True,7a - XX01ZVNS2B-x0846,7 - B301,F1h - crystalform1 - XX01ZVNS2B-x0846/B/301/1,A1 - monomer,F1 - crystalform1,False,False,True,False,False
Zx0846b,XX01ZVNS2B-x0846_B_401_XX01ZVNS2B-x1291+B+301+1,Z1587220559,Oc1ccccc1CNc1nc2ccccc2[nH]1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,False,False,False,False
Zx0875a,XX01ZVNS2B-x0875_B_301_XX01ZVNS2B-x1291+B+301+1,Z1787627869,CN(C[C@H]1CCOC1)c1ncncc1Cl,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0884a,XX01ZVNS2B-x0884_B_301_XX01ZVNS2B-x1291+B+301+1,Z18769001,C[C@H](Oc1ccccc1C#N)C(N)=O,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0884b,XX01ZVNS2B-x0884_B_401_XX01ZVNS2B-x0777+B+301+1,Z18769001,C[C@@H](Oc1ccccc1C#N)C(N)=O,True,4b - XX01ZVNS2B-x0884,4 - B301,F1e - crystalform1 - XX01ZVNS2B-x0777/B/301/1,A1 - monomer,F1 - crystalform1,True,False,False,False,False
Zx0904a,XX01ZVNS2B-x0904_B_301_XX01ZVNS2B-x1291+B+301+1,Z19755216,CN(C)C(=O)COc1cccc(F)c1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0944a,XX01ZVNS2B-x0944_B_301_XX01ZVNS2B-x0130+B+204+1,Z228586974,O=C(c1cccc(F)c1)N1CCNCC1,True,1a - XX01ZVNS2B-x0130,1 - B204,F1b - crystalform1 - XX01ZVNS2B-x0130/B/204/1,A1 - monomer,F1 - crystalform1,False,False,False,False,True
Zx0945a,XX01ZVNS2B-x0945_B_301_XX01ZVNS2B-x1291+B+301+1,Z228587394,COc1ccnc(N2CCNCC2)n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0951a,XX01ZVNS2B-x0951_B_301_XX01ZVNS2B-x1291+B+301+1,Z234898257,CNCc1nnc2ccccn12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0969a,XX01ZVNS2B-x0969_B_203_XX01ZVNS2B-x1291+B+301+1,Z2509342103,Cc1cnn2c1CNCC2,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,False,False,True,False
Zx0969b,XX01ZVNS2B-x0969_B_204_XX01ZVNS2B-x1291+B+301+1,Z2509342103,Cc1cnn2c1CNCC2,False,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,False,False,True,False
